Employment,EdLevel,YearsCodePro,JobSat,RemoteWork,Country,LanguageHaveWorkedWith,LanguageWantToWorkWith
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",3,6.0,In-person,Colombia,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;SQL,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Lua;PHP;Ruby;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12,2.0,In-person,Republic of North Macedonia,Delphi;Fortran;Perl;PHP,Delphi;Fortran;Perl;PHP
"Employed, full-time",Some college/university study without earning a degree,12,6.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lua;PHP;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,9.0,Remote,Poland,Go;Java;JavaScript;Python;SQL;TypeScript,Java;Python
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,7.0,"Hybrid (some remote, some in-person)",Ukraine,C#;JavaScript;Swift,Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,10.0,Remote,India,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,9.0,Remote,Ukraine,C#;F#;Rust,C#;F#;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,8.0,Remote,Ukraine,PowerShell;SQL,C#;HTML/CSS;JavaScript;PowerShell;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,9.0,Remote,South Africa,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL,Go
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,3.0,In-person,United States of America,C;C++;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL,C;C++;PowerShell;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,5.0,"Hybrid (some remote, some in-person)",Isle of Man,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,8.0,"Hybrid (some remote, some in-person)",Germany,Go;Java;JavaScript;Python;SQL;TypeScript;VBA,Dart;Go;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,10.0,"Hybrid (some remote, some in-person)",United States of America,Apex;C#;Go;HTML/CSS;PowerShell;Python;SQL,Ada;C#;Go;PowerShell;Python;Rust;SQL;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,7.0,"Hybrid (some remote, some in-person)",Iraq,HTML/CSS;JavaScript;Python;TypeScript,Java;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,6.0,"Hybrid (some remote, some in-person)",Ukraine,Go;JavaScript;SQL;TypeScript,Go;JavaScript;Python;SQL;TypeScript
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,6.0,Remote,Romania,Java;SQL,Java;JavaScript;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,6.0,Remote,Ukraine,HTML/CSS;Java;JavaScript;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,8.0,"Hybrid (some remote, some in-person)",United States of America,C#,C#
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,4.0,In-person,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL,Elixir;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",24,8.0,Remote,United States of America,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,C#;Go;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,4.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);C#;SQL,Bash/Shell (all shells);C#;F#;Go;Python;Rust;SQL
"Employed, full-time","Associate degree (A.A., A.S., etc.)",14,7.0,In-person,Germany,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PHP,Assembly;C;C#;C++;HTML/CSS;JavaScript;PHP
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",9,7.0,Remote,Italy,Go;Python;SQL,C;C#;C++;Go;Haskell;Julia;Rust;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8,6.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);JavaScript;MATLAB;Perl;Python;R;SQL,Bash/Shell (all shells);Python;R;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,5.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);Python,Bash/Shell (all shells);Cobol;Fortran;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,8.0,Remote,Ukraine,Assembly;C;Go;Java;SQL,Assembly;C;Go
"Employed, full-time","Associate degree (A.A., A.S., etc.)",20,3.0,Remote,United States of America,Python;SQL,Python;Rust;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,8.0,Remote,United Kingdom of Great Britain and Northern Ireland,Python;SQL;TypeScript,C#;Kotlin;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,7.0,Remote,Colombia,Bash/Shell (all shells);JavaScript;Python,Bash/Shell (all shells);Python
"Employed, full-time",Some college/university study without earning a degree,Less than 1 year,9.0,Remote,Morocco,Java;JavaScript,Go;Java
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,10.0,Remote,United Kingdom of Great Britain and Northern Ireland,OCaml,Rust
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,9.0,"Hybrid (some remote, some in-person)",Portugal,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;Solidity;SQL;TypeScript,HTML/CSS;JavaScript;Python;Rust;Solidity;SQL;TypeScript
"Employed, full-time;Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Less than 1 year,5.0,Remote,Ukraine,Bash/Shell (all shells);C;C#;C++;Python;Rust,Bash/Shell (all shells);Python;Rust;Zig
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,8.0,Remote,United States of America,Python;SQL,JavaScript;Python;SQL
"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,1.0,Remote,Greece,C;C++,Assembly;Bash/Shell (all shells);HTML/CSS;Lua;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,8.0,Remote,India,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,Rust;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,9.0,"Hybrid (some remote, some in-person)",Spain,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL,Bash/Shell (all shells);Java;Kotlin
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,8.0,In-person,Germany,C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;TypeScript,Rust;Zig
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,10.0,Remote,Nigeria,HTML/CSS;JavaScript;MATLAB;Python;SQL,Ada;Apex
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,7.0,In-person,Colombia,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript;VBA,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Kotlin;Lua;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,1,1.0,Remote,United States of America,HTML/CSS;JavaScript;Python;SQL;TypeScript,Go;HTML/CSS;JavaScript;OCaml;Python;SQL;TypeScript
"Employed, full-time;Student, part-time",Some college/university study without earning a degree,20,6.0,Remote,United States of America,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),C#;Go;Python;R;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,8.0,"Hybrid (some remote, some in-person)",Czech Republic,HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Dart;JavaScript;TypeScript
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,12,9.0,Remote,Poland,C#;HTML/CSS;JavaScript;PowerShell;TypeScript;VBA;Visual Basic (.Net),C#;Swift
"Employed, full-time","Associate degree (A.A., A.S., etc.)",10,10.0,In-person,United States of America,C#;C++;Delphi;HTML/CSS;Lua;Perl;PHP;Python;SQL,C#;C++;HTML/CSS;Lua;Perl;PHP;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,7.0,"Hybrid (some remote, some in-person)","Iran, Islamic Republic of...",Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,9.0,Remote,Poland,Go,Dart
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,8.0,Remote,Ukraine,Python,C#;JavaScript;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,8.0,Remote,Poland,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,6.0,"Hybrid (some remote, some in-person)",Ukraine,JavaScript;MATLAB,JavaScript;MATLAB
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,9.0,Remote,Poland,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;TypeScript,HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,7.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Go;Java;MicroPython;Python;SQL,Bash/Shell (all shells);Java;MicroPython;Python;SQL
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,6.0,"Hybrid (some remote, some in-person)",Brazil,C#;JavaScript;PHP;Python;SQL,JavaScript;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,7.0,In-person,United States of America,Bash/Shell (all shells);Python;R;SQL,Bash/Shell (all shells);Python;R
"Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,9.0,"Hybrid (some remote, some in-person)",Germany,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,8.0,"Hybrid (some remote, some in-person)",Hungary,C;Erlang,Erlang;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,6.0,"Hybrid (some remote, some in-person)",Brazil,Dart;HTML/CSS;Kotlin;SQL;Swift,Dart;Java;JavaScript;Kotlin;Swift
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,8.0,"Hybrid (some remote, some in-person)",France,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Ruby;Rust;SQL;Swift;TypeScript,Go;HTML/CSS;Kotlin;Python;Rust;SQL;TypeScript
"Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,7.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,5.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,C#;F#;Go;Kotlin;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,9.0,Remote,United States of America,Elixir;Go;Ruby;SQL,Elixir;Ruby;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,7.0,"Hybrid (some remote, some in-person)",Spain,Bash/Shell (all shells);C;Go;Groovy;HTML/CSS;Java;JavaScript;Lua;PowerShell;Rust;Scala;SQL;TypeScript,Go;HTML/CSS;Java;Rust;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,Less than 1 year,8.0,Remote,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;Java;JavaScript;Python;TypeScript,C;C#;Go;Java;Kotlin;Python;Rust;Swift;TypeScript;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,8.0,"Hybrid (some remote, some in-person)",United States of America,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;Rust;TypeScript;Zephyr,Bash/Shell (all shells);C;C++;GDScript;Rust;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,7.0,Remote,Ukraine,Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);C;Clojure;Elixir;Erlang;Go;Haskell;Lua;Python;Rust;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,9,9.0,Remote,Ukraine,JavaScript;PHP;SQL,Go;JavaScript;PHP;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,8.0,Remote,United States of America,Go;HTML/CSS;JavaScript;Rust;TypeScript,Go;HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",11,3.0,Remote,Germany,Assembly;Bash/Shell (all shells);C;C++;Go;Java;JavaScript;Lisp;MATLAB;Perl;Prolog;Python;Ruby;SQL;TypeScript;VBA,Bash/Shell (all shells);C++;Go;Java;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,7.0,"Hybrid (some remote, some in-person)",France,Bash/Shell (all shells);C;C++;JavaScript;Perl;PowerShell;Python,Assembly;C;C++;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,9.0,"Hybrid (some remote, some in-person)",Germany,JavaScript,JavaScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,3.0,"Hybrid (some remote, some in-person)",Austria,Bash/Shell (all shells);Java;MATLAB;PHP;PowerShell;Python;R;SQL;VBA,Bash/Shell (all shells);MATLAB;PHP;PowerShell;Python;R;SQL;VBA
"Employed, full-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,4.0,Remote,"Iran, Islamic Republic of...",C;C#;C++;Delphi;Java;Python;SQL;VBA;Visual Basic (.Net),Go;HTML/CSS;Java;JavaScript;MicroPython;Perl;PHP;Python;SQL
"Employed, full-time",Some college/university study without earning a degree,4,7.0,Remote,United States of America,C#;F#;GDScript;JavaScript;TypeScript,C#;F#;GDScript
"Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,9.0,Remote,Ghana,JavaScript;PHP;TypeScript,Dart;Go;JavaScript;PHP;Python;Rust;Swift;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,6.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);Python;R,Bash/Shell (all shells);Python;R
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,7.0,In-person,Latvia,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,15,10.0,Remote,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,10.0,Remote,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,8.0,Remote,Ukraine,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);C;Haskell;HTML/CSS;JavaScript;OCaml;Prolog;Python;Ruby;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Prolog;Python;Ruby;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time","Associate degree (A.A., A.S., etc.)",3,7.0,"Hybrid (some remote, some in-person)",Turkey,C#;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL,C#;Go;HTML/CSS;JavaScript;PHP;Rust;SQL;Zig
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,5.0,Remote,Ukraine,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,JavaScript;Python
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,7.0,Remote,Brazil,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);C++;Python;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,2.0,"Hybrid (some remote, some in-person)",United States of America,Java,Java
"Employed, full-time","Associate degree (A.A., A.S., etc.)",5,8.0,"Hybrid (some remote, some in-person)",Germany,C++;Python,Rust
"Employed, full-time",Some college/university study without earning a degree,24,8.0,Remote,United States of America,SQL;Swift,C#;SQL;Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,0.0,Remote,Canada,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Julia
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,8.0,"Hybrid (some remote, some in-person)",Ukraine,Apex;C#;HTML/CSS;Java;JavaScript;SQL,Apex;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,4.0,Remote,United States of America,Bash/Shell (all shells);Java;JavaScript;Kotlin;Rust,Elixir;Kotlin;Nim
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,8.0,"Hybrid (some remote, some in-person)",United States of America,Python,JavaScript;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,6.0,In-person,Belgium,Java,Java;Kotlin
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,8.0,"Hybrid (some remote, some in-person)",Norway,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;R;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,8.0,In-person,Denmark,Bash/Shell (all shells);Elixir;SQL,Elixir;Haskell;Rust;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,10.0,"Hybrid (some remote, some in-person)",India,Bash/Shell (all shells);C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;JavaScript;Kotlin;PHP;Python;R;Ruby;Rust;Scala;Solidity;SQL;Swift;TypeScript
"Independent contractor, freelancer, or self-employed",Something else,43,9.0,"Hybrid (some remote, some in-person)",Germany,C;Lisp;Python,C;Lisp;Python
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,2.0,"Hybrid (some remote, some in-person)",United States of America,Python;SQL,Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,10.0,Remote,Ukraine,Python;Rust;SQL,Python;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,7.0,"Hybrid (some remote, some in-person)",Sweden,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Python;Rust,Elixir;Go;Rust;Zig
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,6,8.0,Remote,Ukraine,C#;JavaScript,C#;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,8.0,"Hybrid (some remote, some in-person)",Australia,C#;HTML/CSS;Python;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,5.0,In-person,United States of America,Bash/Shell (all shells);C#;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);C;C#;PowerShell;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,4.0,Remote,United States of America,Python;SQL,JavaScript;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,8.0,Remote,New Zealand,Bash/Shell (all shells);C#;JavaScript;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);C#;Python;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8.0,"Hybrid (some remote, some in-person)",Bulgaria,Python,Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,7.0,"Hybrid (some remote, some in-person)",France,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,8.0,Remote,United States of America,Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;Rust;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,3.0,Remote,United States of America,C#;TypeScript,Python;Rust
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,9.0,Remote,Brazil,JavaScript;Python;SQL,Rust
"Employed, full-time","Associate degree (A.A., A.S., etc.)",28,8.0,Remote,Chile,C#;SQL;TypeScript,C#;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,5.0,"Hybrid (some remote, some in-person)",Egypt,C#;Python,C#;Python
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,6.0,Remote,Ukraine,Python,Go;Ruby
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,5.0,"Hybrid (some remote, some in-person)",Canada,C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;C++;Go;Rust
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,10.0,"Hybrid (some remote, some in-person)",Viet Nam,C;C#;C++;HTML/CSS;JavaScript;Objective-C,C;C#;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python
"Employed, full-time",Some college/university study without earning a degree,28,8.0,In-person,United States of America,C;C#;C++;HTML/CSS;JavaScript;SQL;TypeScript,C#;Nim
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,9.0,"Hybrid (some remote, some in-person)",Belgium,C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,2.0,Remote,Japan,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,5.0,Remote,United States of America,Bash/Shell (all shells);C;C++;Groovy;Java;SQL,Clojure;Go;HTML/CSS;Java;JavaScript;Lisp;Rust
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,6.0,"Hybrid (some remote, some in-person)",Czech Republic,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,24,8.0,"Hybrid (some remote, some in-person)",Hungary,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,9.0,Remote,United States of America,C#;JavaScript;TypeScript,Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,7.0,Remote,New Zealand,Bash/Shell (all shells);C++;Kotlin;Lua;Python,Bash/Shell (all shells);C++;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,7.0,"Hybrid (some remote, some in-person)",Norway,Go;TypeScript,Go;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,7.0,Remote,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;TypeScript,C#;HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,8.0,"Hybrid (some remote, some in-person)",Germany,C#,C#
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,7.0,In-person,United States of America,C;C++;Dart,C;C++;Dart
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,7.0,Remote,Ghana,HTML/CSS;Java;JavaScript;Kotlin;PHP;Python,HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Swift;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8.0,Remote,Brazil,HTML/CSS;JavaScript;PHP;PowerShell;SQL,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,10.0,Remote,Bangladesh,HTML/CSS;JavaScript;PHP;SQL,JavaScript;PHP;Python;SQL
