Employment,EdLevel,YearsCodePro,ExperienceRange,JobSat,JobSatPoints_1,RemoteWork,Country,LanguageHaveWorkedWith
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,10–20,8.0,0.0,"Hybrid (some remote, some in-person)",India,Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,8.0,15.0,"Hybrid (some remote, some in-person)",Australia,Groovy;Java;Kotlin
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,8.0,0.0,"Hybrid (some remote, some in-person)",India,JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,20+,9.0,20.0,"Hybrid (some remote, some in-person)",Belgium,Bash/Shell (all shells);C;C#;C++;Lisp;PowerShell;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,0–5,9.0,100.0,In-person,India,C;JavaScript;Python
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,8.0,8.0,Remote,Bangladesh,C#;HTML/CSS;JavaScript;PHP
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,7.0,0.0,Remote,United States of America,Java;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,10–20,4.0,0.0,"Hybrid (some remote, some in-person)",New Zealand,Bash/Shell (all shells);JavaScript;Python;TypeScript
"Employed, full-time","Associate degree (A.A., A.S., etc.)",6.0,5–10,9.0,15.0,Remote,Canada,Bash/Shell (all shells);Go;JavaScript;PHP;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,0–5,8.0,10.0,Remote,Australia,Bash/Shell (all shells);Dart;Groovy;HTML/CSS;JavaScript;Kotlin;Perl;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,6.0,40.0,"Hybrid (some remote, some in-person)",United States of America,C#;C++;Elixir;HTML/CSS;Java;JavaScript;Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,0–5,8.0,50.0,In-person,South Korea,C#;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,9.0,0.0,"Hybrid (some remote, some in-person)",India,Bash/Shell (all shells);HTML/CSS;JavaScript;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19.0,10–20,10.0,0.0,Remote,United Kingdom of Great Britain and Northern Ireland,Go
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,30.0,20+,10.0,0.0,Remote,United States of America,C#;PowerShell;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,6.0,100.0,In-person,Viet Nam,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,7.0,0.0,Remote,Egypt,C#;HTML/CSS;JavaScript;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40.0,20+,8.0,0.0,Remote,United States of America,HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10–20,7.0,5.0,"Hybrid (some remote, some in-person)",South Korea,Java;JavaScript;Kotlin
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,20+,9.0,20.0,"Hybrid (some remote, some in-person)",South Africa,Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5–10,6.0,20.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);JavaScript;MATLAB;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,10–20,8.0,0.0,Remote,Ukraine,Go
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,10–20,8.0,9.0,Remote,India,HTML/CSS;JavaScript;MATLAB;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5–10,5.0,0.0,Remote,India,HTML/CSS;JavaScript;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,10–20,3.0,60.0,Remote,Australia,Bash/Shell (all shells);Python;SQL
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0,0–5,6.0,10.0,In-person,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,8.0,20.0,Remote,United States of America,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL
"Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10–20,5.0,0.0,"Hybrid (some remote, some in-person)",Viet Nam,Java;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5–10,10.0,0.0,In-person,Thailand,C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,10–20,5.0,0.0,Remote,Ukraine,JavaScript;Python;Ruby
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31.0,20+,8.0,8.0,Remote,Australia,Bash/Shell (all shells);C;C#;C++;MicroPython;PowerShell;Python;SQL
"Employed, full-time",Some college/university study without earning a degree,4.0,0–5,6.0,0.0,In-person,United States of America,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8.0,5–10,6.0,25.0,"Hybrid (some remote, some in-person)",Czech Republic,Bash/Shell (all shells);C++;GDScript;Java;JavaScript;SQL
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,6.0,5.0,"Hybrid (some remote, some in-person)",Sri Lanka,Bash/Shell (all shells);C#;Erlang;HTML/CSS;JavaScript;PHP;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,0–5,6.0,10.0,Remote,Ukraine,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,10–20,7.0,80.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31.0,20+,7.0,50.0,Remote,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,0–5,3.0,25.0,"Hybrid (some remote, some in-person)",Australia,HTML/CSS;JavaScript;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,0.0,10.0,"Hybrid (some remote, some in-person)",Bolivia,Go;Groovy;Java;Kotlin;Lua;Python;Rust;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,0–5,5.0,10.0,In-person,India,HTML/CSS;Java;JavaScript;Lua;Python;SQL;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20.0,10–20,6.0,5.0,Remote,Finland,Delphi
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,0–5,6.0,10.0,Remote,Ukraine,Python;SQL
"Employed, full-time",Some college/university study without earning a degree,40.0,20+,8.0,10.0,"Hybrid (some remote, some in-person)",United States of America,C#;C++;Delphi;SQL;Visual Basic (.Net)
"Employed, full-time","Associate degree (A.A., A.S., etc.)",23.0,20+,7.0,7.0,"Hybrid (some remote, some in-person)",Australia,C#;HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5.0,0–5,8.0,20.0,Remote,India,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lisp;Lua;Python;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,7.0,70.0,In-person,India,C;C#;C++;HTML/CSS
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,7.0,80.0,"Hybrid (some remote, some in-person)",India,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,10–20,7.0,0.0,"Hybrid (some remote, some in-person)",India,PowerShell;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,6.0,75.0,"Hybrid (some remote, some in-person)",Greece,Dart;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,7.0,0.0,Remote,New Zealand,Bash/Shell (all shells);C;C++;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,8.0,100.0,Remote,India,HTML/CSS;JavaScript;SQL
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5–10,9.0,25.0,In-person,India,HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5–10,5.0,30.0,In-person,India,C#;HTML/CSS;JavaScript;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,7.0,80.0,"Hybrid (some remote, some in-person)",India,C;C++;Lua;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,7.0,90.0,Remote,Ukraine,Go
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10–20,8.0,5.0,"Hybrid (some remote, some in-person)",Australia,HTML/CSS;JavaScript;PowerShell;Python;Rust;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,0–5,7.0,25.0,Remote,Lithuania,Go;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,7.0,50.0,In-person,India,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,1.0,0.0,In-person,India,Dart;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,10–20,8.0,0.0,Remote,Romania,Go;JavaScript;Ruby
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,20+,8.0,0.0,"Hybrid (some remote, some in-person)",New Zealand,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Python;Rust;SQL
"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,9.0,0.0,"Hybrid (some remote, some in-person)",Austria,C#;C++;HTML/CSS;MATLAB;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,10–20,8.0,30.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);C;C++;MicroPython;Python;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,5–10,9.0,0.0,Remote,Germany,Java;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10–20,9.0,0.0,Remote,Finland,HTML/CSS;Java;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,7.0,50.0,In-person,Bangladesh,C#;HTML/CSS;JavaScript;TypeScript
"Employed, full-time",Some college/university study without earning a degree,4.0,0–5,8.0,50.0,In-person,Russian Federation,Java;JavaScript;Kotlin;Objective-C;PHP;SQL;Swift;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,10–20,9.0,10.0,In-person,United States of America,Bash/Shell (all shells);C++;Go;Lua;Python;Rust;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0–5,10.0,8.0,In-person,India,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5–10,6.0,4.0,In-person,India,HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,6.0,10.0,Remote,Ukraine,HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,7.0,70.0,In-person,India,Java;PHP;SQL
"Employed, full-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,6.0,50.0,Remote,Turkey,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,10–20,8.0,100.0,Remote,India,Java;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,3.0,50.0,In-person,India,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Kotlin;PHP;Python;Rust;Solidity;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,7.0,10.0,"Hybrid (some remote, some in-person)",Singapore,Bash/Shell (all shells);Go;JavaScript;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,9.0,10.0,In-person,Bangladesh,Dart;Java;Kotlin;Objective-C;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,3.0,30.0,In-person,"Iran, Islamic Republic of...",C#;HTML/CSS;JavaScript;Kotlin;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,10–20,8.0,0.0,Remote,Spain,Java;JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,7.0,10.0,"Hybrid (some remote, some in-person)",India,Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,2.0,15.0,Remote,Germany,C#;F#;HTML/CSS;JavaScript;Nim;Python;SQL;VBA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",34.0,20+,8.0,50.0,"Hybrid (some remote, some in-person)",South Africa,C#;C++
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,2.0,20.0,In-person,"Iran, Islamic Republic of...",Dart;HTML/CSS;Java;JavaScript;Kotlin;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,7.0,15.0,"Hybrid (some remote, some in-person)",United States of America,Scala
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,7.0,80.0,In-person,India,HTML/CSS;Java;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,10.0,80.0,"Hybrid (some remote, some in-person)",India,Java;PHP
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0,0–5,6.0,20.0,"Hybrid (some remote, some in-person)",Switzerland,C#;HTML/CSS;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,9.0,5.0,Remote,Australia,Go;HTML/CSS;Java;JavaScript;Swift;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,10–20,8.0,0.0,In-person,Taiwan,Java
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0,5–10,10.0,0.0,"Hybrid (some remote, some in-person)",Switzerland,JavaScript
"Employed, full-time;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,5–10,8.0,60.0,In-person,India,C;HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5–10,7.0,10.0,Remote,Spain,Ruby
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7.0,5–10,8.0,6.0,Remote,United Kingdom of Great Britain and Northern Ireland,Assembly;C;C#;C++;Perl;PowerShell;Python;SQL
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,5–10,7.0,40.0,Remote,South Korea,Go;HTML/CSS;PHP;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,7.0,70.0,Remote,Pakistan,Dart;Python;Swift
"Employed, full-time",Some college/university study without earning a degree,3.0,0–5,3.0,0.0,Remote,Russian Federation,Bash/Shell (all shells);Java;Kotlin;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,6.0,0.0,"Hybrid (some remote, some in-person)",Romania,C#
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,6.0,2.0,In-person,India,C;Dart;Go;Kotlin;PHP;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,20+,8.0,20.0,"Hybrid (some remote, some in-person)",Czech Republic,C#;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34.0,20+,7.0,1.0,Remote,Poland,Assembly;Bash/Shell (all shells);C;C#;C++;PowerShell;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28.0,20+,9.0,0.0,"Hybrid (some remote, some in-person)",France,C#;HTML/CSS;Java;JavaScript;SQL
"Employed, full-time",Primary/elementary school,2.0,0–5,7.0,40.0,In-person,Uzbekistan,HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,8.0,0.0,In-person,India,Python
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12.0,10–20,7.0,5.0,"Hybrid (some remote, some in-person)",Thailand,Bash/Shell (all shells);PowerShell
"Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31.0,20+,10.0,50.0,"Hybrid (some remote, some in-person)",New Zealand,C#;HTML/CSS;JavaScript;PowerShell;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,7.0,10.0,In-person,Japan,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,0–5,5.0,20.0,Remote,Ukraine,Assembly;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;SQL
"Employed, full-time","Associate degree (A.A., A.S., etc.)",5.0,0–5,10.0,0.0,Remote,Pakistan,C#;Go;Haskell;HTML/CSS;JavaScript;Lua;Rust;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,0–5,7.0,90.0,In-person,Cyprus,HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,3.0,0.0,"Hybrid (some remote, some in-person)",India,Objective-C;Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,2.0,10.0,In-person,South Korea,Bash/Shell (all shells);HTML/CSS;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,7.0,0.0,In-person,New Zealand,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5–10,9.0,0.0,Remote,India,TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5–10,8.0,10.0,In-person,Bangladesh,HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time",Some college/university study without earning a degree,26.0,20+,7.0,20.0,In-person,Sweden,Delphi;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,10–20,6.0,10.0,Remote,Armenia,Java;JavaScript;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,8.0,80.0,"Hybrid (some remote, some in-person)",India,C;C++;Go;HTML/CSS;JavaScript;TypeScript;Visual Basic (.Net)
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5–10,6.0,40.0,"Hybrid (some remote, some in-person)",Canada,Java;Python;SQL;TypeScript
"Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0–5,3.0,30.0,"Hybrid (some remote, some in-person)",Australia,HTML/CSS;JavaScript;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,5.0,0.0,In-person,United States of America,Bash/Shell (all shells);Groovy;HTML/CSS;Java;Lisp;Perl;Python;SQL
"Independent contractor, freelancer, or self-employed;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,0–5,6.0,0.0,Remote,Canada,HTML/CSS;Java;JavaScript;PHP;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,0–5,9.0,9.0,In-person,India,Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,3.0,20.0,Remote,El Salvador,C#;PowerShell;SQL
"Employed, full-time","Associate degree (A.A., A.S., etc.)",1.0,0–5,0.0,10.0,In-person,Spain,Java;Kotlin
"Employed, full-time","Associate degree (A.A., A.S., etc.)",16.0,10–20,6.0,0.0,"Hybrid (some remote, some in-person)",Sweden,C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,8.0,20.0,"Hybrid (some remote, some in-person)",Switzerland,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,10–20,9.0,0.0,Remote,Germany,C#;SQL;TypeScript
"Not employed, but looking for work;Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,5.0,20.0,In-person,Kenya,C;HTML/CSS;Python;R
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,10–20,10.0,20.0,Remote,Poland,Ada;Bash/Shell (all shells);C;C#;C++;F#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,7.0,0.0,In-person,Republic of Korea,Assembly;Bash/Shell (all shells);C;Delphi;Python
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",4.0,0–5,8.0,0.0,Remote,Canada,C++;HTML/CSS;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5–10,7.0,0.0,"Hybrid (some remote, some in-person)",Netherlands,Bash/Shell (all shells);Java;Kotlin;Scala;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5–10,9.0,0.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);C;C#;GDScript;HTML/CSS;Java;JavaScript;Python;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0,5–10,7.0,80.0,"Hybrid (some remote, some in-person)",Australia,C#;Delphi;HTML/CSS;JavaScript;PowerShell;SQL;Swift;TypeScript
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,8.0,10.0,In-person,Poland,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,8.0,0.0,"Hybrid (some remote, some in-person)",Nepal,Dart;Java;JavaScript;Kotlin
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,8.0,40.0,Remote,Ukraine,Go;Python;SQL
"Independent contractor, freelancer, or self-employed;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6.0,5–10,8.0,0.0,"Hybrid (some remote, some in-person)",Switzerland,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;SQL
"Employed, full-time",Something else,18.0,10–20,8.0,40.0,Remote,Russian Federation,C++;Kotlin;Objective-C;Swift
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0,5–10,8.0,15.0,"Hybrid (some remote, some in-person)",Italy,HTML/CSS;Java;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,4.0,10.0,"Hybrid (some remote, some in-person)",Japan,Dart;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,7.0,89.0,"Hybrid (some remote, some in-person)",Pakistan,HTML/CSS;JavaScript;MATLAB;PHP;Python;SQL
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10–20,9.0,15.0,"Hybrid (some remote, some in-person)",Czech Republic,Bash/Shell (all shells);HTML/CSS;Kotlin;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,0–5,9.0,0.0,"Hybrid (some remote, some in-person)",Sweden,Bash/Shell (all shells);Go;Java;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5–10,3.0,0.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Rust;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,20+,4.0,0.0,Remote,Australia,C#;C++;PowerShell;TypeScript
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,14.0,10–20,8.0,0.0,Remote,Romania,C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,1.0,0.0,"Hybrid (some remote, some in-person)",Czech Republic,Assembly;Bash/Shell (all shells);C;C++;Go;Haskell;Java;JavaScript;Prolog;Python;SQL
